gamename,threshold
Amidar,130
Assault,1800
Asterix,1440
Asteroids,1570
Atlantis,1267410
BankHeist,225
BattleZone,16600
BeamRider,10000
Berzerk,686
Bowling,31
Boxing,49.8
Breakout,9.5
Centipede,15000
ChopperCommand,3710
CrazyClimber,26430
DemonAttack,1166.5
DoubleDunk,0.2
Enduro,95
FishingDerby,49
Freeway,31
Frostbite,370
Gopher,582
Gravitar,805
IceHockey,4.1
Kangaroo,11200
Krull,8647.2
MontezumaRevenge,0
NameThisGame,4503
Phoenix,4041
PitFall,0
Pong,21
PrivateEye,100
Qbert,147.5
RiverRaid,5009
RoadRunner,16590
Robotank,11.9
Seaquest,1390
Skiing,15442.5
Solaris,2090
SpaceInvaders,678.5
StarGunner,1470
Tennis,4.5
TimePilot,4970
Tutankham,130.3
UpNDown,67974
Venture,760
VideoPinball,22834
WizardOfWor,3480
YarsRevenge,16401
Zaxxon,6380
